y_true,y_pred
21,47.13827502785534
15,47.05258106411111
100,68.96762933190985
93,56.66872769920792
33,51.167353090763754
65,44.15377289260323
50,50.5173556485488
94,60.369755334333604
34,57.599090331907064
87,53.23809312965841
36,39.51427664653784
48,47.259196100865665
69,61.50975124506658
49,57.09953552263869
81,53.23736615986945
12,44.361941165986536
14,46.968076435877265
55,52.53049464307787
55,56.078009849306
64,49.62865661219257
37,50.21054372639719
95,54.65879241675066
18,47.62620403658457
93,53.947771419825585
50,60.13587134685895
27,62.96816380008295
53,59.09205675751127
38,51.690132366635225
66,65.86205738923854
77,43.08767126919338
16,39.55990416178702
62,60.742739027397874
54,47.89612991886952
11,37.10025377562215
25,55.09550481489896
59,51.62004256042292
67,47.77286308609018
75,40.78954364341007
67,39.24325425350253
72,54.280955781258854
50,54.738413378310725
14,70.54039674145679
18,48.41758434301573
15,43.086344251639275
96,42.93387113884455
17,42.18037585432103
45,50.679334100448614
44,62.58551409162283
143,53.86976119660085
56,66.01418614647173
52,54.5449675461241
41,54.28072527445602
52,59.513760341940724
98,63.44295411173334
107,56.631935928656276
23,47.163232417069594
38,38.53578874501454
74,59.93443058851881
37,48.594003637229434
31,57.07817114663521
89,53.14680954074174
26,58.55286578910818
70,66.4673675454178
83,51.20415103100095
17,47.47579785816197
90,63.00838769079655
50,37.891759639342126
34,36.07887278891394
34,48.575420735583066
39,63.335514522490485
27,55.46421964022829
34,57.76024343770587
80,64.74856768426889
129,52.68389667404972
19,45.49515406824867
31,55.13889715973983
143,69.75023765546757
75,44.41148023376354
20,44.73329427010685
50,53.917437160351255
45,45.79865325783885
76,63.69339441124521
30,48.963091376537704
14,35.232695084449006
50,61.84720626575927
33,55.44517104634451
28,50.48271311460576
74,54.39034291727239
43,39.12673710171748
35,48.3577683511412
33,52.32273878083652
30,41.881090736997976
60,60.36698212837746
40,54.94952557727083
89,62.87835633542181
36,52.47319616495497
18,59.43209093188034
14,54.49093457553499
16,52.99032318530044
114,53.215104424830315
25,44.65224688032049
70,53.87569933873965
49,67.7434669788172
51,53.304662783193635
62,50.47108919602306
29,56.4362156748648
11,50.72553647806217
10,40.492182264895746
18,60.08854715947382
18,47.02310121366918
42,54.94865403447966
41,43.85527747856122
37,65.91800771219187
17,59.75349991076746
99,56.72893737038066
25,43.841819929081794
10,47.2793697639172
22,41.995059019945074
28,60.2172181466276
87,67.127678738545
32,45.641985719334116
32,37.93371437726819
78,55.48665650226303
36,41.17967104971558
34,47.52301950783294
29,42.98938158580495
54,46.27117704399279
58,47.69551365903044
88,61.783589840561035
32,55.23465889514955
93,66.65108523637082
28,56.22704297102973
22,50.25290689479607
29,47.92654883784144
107,57.392450109749916
25,51.40361139642391
86,57.42506938059614
39,47.60247613621323
45,55.97802161182517
23,50.310266007698374
28,63.169751013382665
61,50.05121188880639
12,44.25433599244934
73,41.212292532894025
26,41.932031047598684
45,56.18468096331526
86,40.95395367525907
79,65.89288799807855
21,40.348614960663326
115,56.45502354447035
107,55.97854942989852
99,56.927751377725144
63,53.857128866897256
85,51.74474136027038
25,37.467900648618524
32,62.88284691172066
31,58.754490617615375
31,37.062777184189144
50,38.14039558764853
28,56.83806192322754
17,50.488353415633355
49,39.58569963999162
11,60.67460014097196
59,44.34220938720773
91,49.91242746313674
17,59.952468822209084
17,55.81338107317242
37,67.08208595139968
23,49.97008272662606
62,44.446928136873794
10,47.78907899992191
82,65.51581040874044
54,54.28720355085352
50,55.86789807693913
37,47.860199143261525
51,42.383659739756695
83,57.45780198297598
96,58.7029249602283
31,42.46926776970304
45,53.724377832629216
43,56.22138237998661
56,60.68344030574917
58,41.72466385565258
30,58.73529407771457
71,42.28418761181729
101,62.59285964626997
33,65.67665878246771
61,57.5245348090084
103,53.69092391292543
73,56.552143213113595
166,62.05689945729773
26,57.62578942926575
66,56.822936260027745
94,52.489083412428045
23,54.08308838957328
34,61.267129041606495
62,59.344953935993544
87,69.69022993268209
25,40.3275691239769
10,51.5409768146701
44,55.822583562161526
32,59.32101213273381
22,54.08779892482653
41,44.79837069095083
39,43.204766723476496
33,53.773616329741344
72,57.749838857607756
103,44.33919123636133
63,60.6899219551633
29,66.18144056690562
89,62.349681066319135
47,56.47697020364012
39,47.780097521536845
22,64.81804990829369
34,37.21124675458759
34,47.40877389054731
15,49.69348683703174
36,54.028668914518676
33,63.62866788480642
57,44.11471284694744
19,44.27158570685424
102,56.679718850200516
36,34.86564837283822
39,73.78859359331636
61,49.78851217356896
111,61.48606296818343
16,48.2477777943468
39,48.75946313553959
33,36.66924074440885
13,48.130860263733666
26,40.47502058300324
85,58.20372737573507
83,45.59612769727937
96,56.56258252131465
17,41.09327950949228
45,54.26859546380456
28,51.52317742330251
63,48.280195838079635
45,66.28134287058674
80,64.21072675299092
123,55.317807947410074
58,66.02482123337359
59,50.94103671560424
74,44.184208661460616
39,40.4749285931357
37,37.482460878536585
56,69.33178344996213
59,57.35473684182489
19,68.00108777852438
59,45.44644222852821
58,45.35831856678942
30,48.7241426716746
37,41.29892817041127
76,71.05772908320341
69,53.31900084182507
37,54.42055916658501
33,55.822906058832814
25,53.631772765003916
43,63.36176757416979
78,55.185081051480665
15,61.919921548665116
57,54.35253139936049
54,46.45478361574351
113,63.989273935225356
90,53.93959193759292
102,54.202402772032656
31,51.69298281128795
26,43.548377523896306
47,71.4274714489884
47,52.85244992591197
45,53.7394209350432
45,62.46581508665349
43,39.14006784279263
60,54.16501537379463
59,43.51835970502452
17,51.15863463495316
107,58.497617925313534
65,42.960169136102195
21,58.5337237142985
67,53.74316605567947
26,50.53854827057057
57,40.95737408689092
126,65.26160807159158
33,48.7764851398133
79,45.65127809947808
43,57.98220105397468
48,65.91906544705216
58,53.82291778299805
23,34.532852681701115
28,54.55787604948273
14,50.244278637328534
125,56.6975413282571
29,57.90971010818612
19,55.72926511523474
94,50.268936616558676
42,47.85841665094358
58,48.730595041396555
71,63.17384602842412
43,38.22883557637124
38,45.86388574346347
16,56.27674825394388
33,33.351608712814595
46,52.89487372908934
34,45.67533195996839
42,49.28871326700664
14,42.12907947962776
9,56.58153912533089
36,40.49483297349252
77,50.01711076342599
48,67.61131494525125
60,51.255141826024555
48,65.0039551955233
72,43.45277732499471
89,46.34087408562027
69,38.57827130101305
67,61.23877705700488
43,55.478900418430385
23,41.18884835330391
32,41.17987637111855
25,48.440401293860305
36,44.45669721982904
85,62.17542960820447
85,45.467263097255454
49,56.20887397158276
36,38.33232483719621
74,56.40666901995701
53,38.29564744524305
59,49.276744992864224
93,51.48990352597866
33,61.07702795122714
48,43.24523011066776
47,50.31026274830219
47,45.71672822269102
25,59.694794020133486
48,37.47843820680737
27,43.35102968188403
121,65.69663550613586
60,64.71772536689514
16,33.32517773746713
75,56.696457133693
21,48.799152508652696
33,60.864025467259125
38,39.974527426477835
29,52.71501437668758
66,51.93096181380224
62,46.84587466833
33,55.42704245877758
33,56.206112143784594
46,54.64747968379925
35,40.47898450191133
16,47.10356632028925
63,49.62819371662772
80,52.704165699982696
35,58.230474678068276
51,52.59273083674452
50,41.24253259017041
30,54.65682652903706
44,52.54989096553709
83,56.62716780126357
53,61.54204801924152
81,60.12602992059328
106,74.01004641108284
65,60.835871913099254
32,52.2331625442539
31,42.03148404620424
